mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03446941375732422,0.001497783719607523,0.008056211471557616,0.0009385687593441749,0.0,,gini,3,1,2,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.029971885681152343,0.0010544547465504285,0.007265996932983398,0.00047993522346325785,0.0,,gini,3,1,5,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.029357004165649413,0.0013962282777326372,0.007100152969360352,0.0009898449321537207,0.0,,gini,3,1,10,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.028521203994750978,0.001578189345051238,0.007062387466430664,0.001673014121892563,0.0,,gini,3,1,20,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.027287721633911133,0.0010428793084919946,0.0038901329040527343,0.0014445706164409164,0.0,,gini,3,2,2,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.02743358612060547,0.0015453351350273857,0.004733419418334961,0.0015840130461593949,0.0,,gini,3,2,5,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.02693915367126465,0.0015654564339541597,0.0046615123748779295,0.0014276616908938896,0.0,,gini,3,2,10,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.027065801620483398,0.0007924743416360052,0.004659509658813477,0.001442661547784683,0.0,,gini,3,2,20,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.02873678207397461,0.0026963624371899773,0.004881381988525391,0.0017370125798670066,0.0,,gini,3,4,2,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.02693037986755371,0.0016694796774326518,0.0040280818939208984,0.0015550284971167882,0.0,,gini,3,4,5,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.02745356559753418,0.0013493964821876731,0.0050201892852783205,0.0014187687946177105,0.0,,gini,3,4,10,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.028412437438964842,0.0011765349690346864,0.006243371963500976,0.0008001208958071414,0.0,,gini,3,4,20,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 20}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.028730249404907225,0.0025138430535737574,0.007892608642578125,0.001096562933281231,0.0,,gini,3,8,2,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.029488182067871092,0.0006019292932459498,0.006861495971679688,0.001277241394878183,0.0,,gini,3,8,5,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.028736400604248046,0.000425844453172508,0.006993532180786133,0.0010520473360999024,0.0,,gini,3,8,10,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 10}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.028842830657958986,0.0007772047319325539,0.005647802352905273,0.002068020092868808,0.0,,gini,3,8,20,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 20}",0.7401685393258428,0.7412887828162291,0.7755954868366066,0.7270087124878992,0.7676285528314167,0.750338014859599,0.01825631822893549,289
0.04073348045349121,0.0010765089940542219,0.0034821033477783203,0.00031266365542494487,0.0,,gini,5,1,2,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.754915409236397,0.7442630707357464,0.7570776255707762,0.756046993780235,0.7671480144404333,0.7558902227527177,0.007270671244235477,78
0.04121079444885254,0.0013241935522181143,0.0030219554901123047,0.0007590416492565163,0.0,,gini,5,1,5,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.754915409236397,0.7442630707357464,0.7570776255707762,0.756046993780235,0.7671480144404333,0.7558902227527177,0.007270671244235477,78
